Los Angeles Lakers
TRB
Darius Miller,,,0,,,,,2,0,,0,
Tyreke Evans,12,22,21,16,18,6,19,16,13,18,10,9
Patric Young,,,,,,,,,,,,
Alexis Ajinca,2,,5,2,2,,6,2,6,5,12,6
Austin Rivers,7,3,7,12,5,8,8,17,4,2,8,8
Jimmer Fredette,2,0,,0,4,4,,7,,,,0
Luke Babbitt,0,,0,,,,3,12,0,5,0,0
Jeff Withey,0,,,,,,0,2,2,,9,8
John Salmons,0,0,,,0,0,,,,0,5,
Ryan Anderson,22,11,7,16,9,32,17,16,12,22,10,5
Jrue Holiday,8,24,10,16,15,16,17,24,14,9,12,19
Eric Gordon,8,0,11,4,14,10,7,11,11,17,13,8
Russ Smith,,,,0,,,,,,,,0
Omer Asik,14,13,6,10,6,8,7,8,,,,
Anthony Davis,26,31,14,24,27,27,25,22,31,28,18,43
3P%
Darius Miller,,,,,,,,,,,,
Tyreke Evans,.000,.500,.500,.500,.500,.000,1.000,1.000,.200,.500,.000,.000
Patric Young,,,,,,,,,,,,
Alexis Ajinca,,,,,,,,,,,,
Austin Rivers,.000,.000,.500,.000,.000,1.000,.500,1.000,.000,,,.400
Jimmer Fredette,.000,,,,.000,.000,,.500,,,,
Luke Babbitt,,,.000,,,,1.000,1.000,,1.000,,
Jeff Withey,,,,,,,,,,,,
John Salmons,,.000,,,,.000,,,,.000,1.000,
Ryan Anderson,.500,.500,.000,.333,.429,.667,.429,.500,.333,.333,.000,.000
Jrue Holiday,.000,.375,.333,.333,.500,.250,.250,1.000,.000,.000,.500,1.000
Eric Gordon,.500,.000,.000,.000,.333,.250,.000,1.000,1.000,.500,.600,.000
Russ Smith,,,,.000,,,,,,,,.000
Omer Asik,,,,,,,,,,,,
Anthony Davis,,,,,,.000,,,.000,,.000,
Houston Rockets
TRB
Francisco Garcia,,,,,,1,0,,0,1,0,1,1
Donatas Motiejunas,5,3,5,8,1,3,8,7,7,9,2,3,12
Isaiah Canaan,1,1,4,2,0,2,4,2,2,,0,,0
Patrick Beverley,5,2,,,4,,,,,8,2,4,5
Jason Terry,0,0,1,1,1,0,1,3,1,2,0,1,2
Trevor Ariza,3,5,8,6,5,3,11,5,9,4,3,7,4
Kostas Papanikolaou,6,2,2,3,7,4,10,0,4,4,4,6,7
Joey Dorsey,,,0,0,1,2,,3,,,3,3,1
Terrence Jones,13,3,10,4,,,,,,,,,
Troy Daniels,0,,0,0,0,1,0,0,,0,0,,
Dwight Howard,11,10,8,14,10,16,,10,16,9,9,,
Tarik Black,2,2,2,,,3,5,6,2,8,7,9,7
James Harden,1,7,8,9,9,6,7,4,6,9,5,4,8
AST
Francisco Garcia,,,,,,0,0,,0,0,0,1,1
Donatas Motiejunas,0,0,2,3,0,1,1,4,1,1,0,1,2
Isaiah Canaan,0,0,2,6,0,1,1,1,3,,3,,0
Patrick Beverley,5,2,,,1,,,,,1,3,2,1
